TEMP_ID,SEX,DEPARTMENT,TCAS ROUND,FIRST_GPA,SECOND_GPA,GPAX,COMP_PROG_REG_SEM,COMP_PROG_GRADE,COMP_PROG_ATMPT,EXPLORE_ENG_GRADE,EXPLORE_ENG_ATMPT,ENG_MATERIAL_GRADE,ENG_MATERIAL_ATMPT,GEN_CHEM_GRADE,GEN_CHEM_ATMPT,GEN_CHEMLAB_GRADE,GEN_CHEMLAB_ATMPT,ENG_DRAWING_GRADE,ENG_DRAWING_ATMPT
A001,F,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.21,3.41,3.31,1,D+,1,A,1,B+,1,B,1,B,1,B+,1
A002,F,ภาควิชาวิศวกรรมเคมี,TCAS3 Admissions,2.50,2.59,2.54,1,C,1,A,1,C+,1,C+,1,C+,1,B,1
A003,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.45,3.03,3.25,1,A,1,A,1,B,1,C+,1,C+,1,C+,1
A004,M,ไม่สังกัดภาควิชา/เทียบเท่า,TCAS3 Admissions,0.00,0.00,0.00,,,,,,,,,,,,,
A005,F,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,4.00,3.82,3.92,1,A,1,A,1,A,1,B+,1,A,1,A,1
A006,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.53,3.47,3.50,1,A,1,A,1,A,1,B+,1,A,1,A,1
A007,M,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,4.00,3.74,3.88,1,A,1,A,1,A,1,B+,1,A,1,A,1
A008,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.45,3.29,3.38,1,A,1,B+,1,B+,1,C+,1,A,1,B+,1
A009,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.63,3.38,3.00,1,C,1,,,B,1,,,,,B,1
A010,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.21,2.82,3.17,1,B,1,A,1,B,1,C+,1,B+,1,C+,1
A011,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.97,2.79,2.89,1,C,1,B+,1,B+,1,C+,1,B+,1,A,1
A012,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.76,3.26,3.53,1,A,1,A,1,B,1,B,1,B+,1,B,1
A013,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.13,2.15,2.23,1,D,1,A,1,C,1,C,1,B,1,B,1
A014,M,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,3.84,3.74,3.79,1,A,1,A,1,A,1,B+,1,A,1,A,1
A015,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.53,3.53,3.53,1,A,1,A,1,B+,1,C+,1,B+,1,B+,1
A016,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.97,2.56,2.78,1,B,1,B+,1,B+,1,B,1,A,1,D+,1
A017,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.13,2.62,2.89,1,A,1,A,1,B+,1,C+,1,B+,1,C+,1
A018,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.84,3.53,3.70,1,A,1,A,1,B+,1,C+,1,B+,1,A,1
A019,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.29,3.29,3.29,1,C+,1,A,1,A,1,B+,1,A,1,A,1
A020,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.39,3.24,3.32,1,B+,1,B,1,B+,1,C+,1,B+,1,B+,1
A021,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.61,3.47,3.58,1,B,1,A,1,B,1,B,1,A,1,C+,1
A022,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.76,3.44,3.61,1,A,1,A,1,B+,1,A,1,B+,1,A,1
A023,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.34,3.18,3.26,1,B+,1,A,1,B,1,C+,1,B+,1,B+,1
A024,M,ภาควิชาวิศวกรรมโลหการ,TCAS3 Admissions,2.77,1.79,2.30,1,D,2,A,1,C,1,F,1,B,1,B,1
A025,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.50,2.35,2.36,1,C+,2,A,1,C+,1,C,1,B+,1,B+,1
A026,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.61,3.29,3.46,1,B+,1,A,1,A,1,B,1,A,1,A,1
A027,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.00,2.53,2.78,1,B+,1,B+,1,C,1,D,1,B,1,C,1
A028,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.45,3.74,3.58,1,B+,1,A,1,B,1,B,1,A,1,A,1
A029,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.87,2.71,2.88,1,D,1,B+,1,B,1,C+,1,B,1,C,1
A030,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.29,2.94,3.13,1,C,1,B+,1,B+,1,C+,1,B,1,C,1
A031,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,3.05,2.79,2.93,1,A,1,C+,1,C+,1,C+,1,B+,1,B+,1
A032,F,ภาควิชาวิศวกรรมสิ่งแวดล้อม,TCAS3 Admissions,2.95,3.12,3.13,1,C,1,A,1,C+,1,B,1,B,1,B,1
A033,M,ไม่สังกัดภาควิชา/เทียบเท่า,TCAS3 Admissions,0.00,,,1,,1,,1,,1,,,,,,
A034,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.95,2.44,2.71,1,C,1,A,1,B,1,C,1,B+,1,B,1
